=== EXCEL DATA ===

Sheet: COBERTURA
COBERTURA  NACIONAL 2026,,,
PROVINCIA,CANT├ôN/PARROQUIA,TRAYECTO,TIEMPO DE ENTREGA ORIGEN QUITO
AZUAY,CUENCA,PRINCIPAL,24 HORAS
,BELLAVISTA,,24 HORAS
,CA├æARIBAMBA,,24 HORAS
,EL BAT├üN,,24 HORAS
,EL SAGRARIO,,24 HORAS
,EL VECINO,,24 HORAS
,GIL RAM├ìREZ D├üVALOS,,24 HORAS
,HUAYNAC├üPAC,,24 HORAS
,MACH├üNGARA,,24 HORAS
,MONAY,,24 HORAS
,SAN BLAS,,24 HORAS
,SAN SEBASTI├üN,,24 HORAS
,SUCRE,,24 HORAS
,TOTORACOCHA,,24 HORAS
,YANUNCAY,,24 HORAS
,HERMANO MIGUEL,,24 HORAS
,CAPULISPAMBA,SECUNDARIO,48 HORAS
,BA├æOS,,48 HORAS
,RICAURTE,,48 HORAS
,SAN JOAQUIN,,48 HORAS
,SAYAUSI,,48 HORAS
,TURI,,48 HORAS
,SININCAY (RACAR),,48 HORAS
,LUIS CORDERO,ESPECIAL,48 A 72 HORAS
,SANTA ANA,,48 A 72 HORAS
,TARQUI,,48 A 72 HORAS
,VALLE,,48 A 72 HORAS
,GIRON,,48 A 72 HORAS
,GUALACEO,,48 A 72 HORAS
CARCHI,TULC├üN,SECUNDARIO,24 HORAS
,GONZ├üLEZ SU├üREZ,,24 HORAS
,BOLIVAR,ESPECIAL,24 HORAS
,HUACA,,24 A 48 HORAS
,SAN GABRIEL,,24 A 48 HORAS
,JULIO ANDRADE,,24 A 48 HORAS
,MIRA,,24 A 48 HORAS
CA├æAR,AZOGUES,ESPECIAL,48 HORAS
,CA├æAR,,48 HORAS
,EL TAMBO,,72 HORAS
,BIBLIAN,,72 HORAS
COTOPAXI,LATACUNGA,PRINCIPAL,24 HORAS
,ELOY ALFARO  (SAN FELIPE),,24 HORAS
,IGNACIO FLORES (PARQUE FLORES) ,,24 HORAS
,JUAN MONTALVO (SAN SEBASTI├üN),,24 HORAS
,LA MATRIZ,,24 HORAS
,SAN BUENAVENTURA,,24 HORAS
,MULALO (LASSO),ESPECIAL,LUNES
,SALCEDO,,72 HORAS
,PUJILI,,MARTES
,SAQUISILI,,LUNES
CHIMBORAZO,RIOBAMBA,PRINCIPAL,24 HORAS
,LIZARZABURU,,24 HORAS
,MALDONADO,,24 HORAS
,VELASCO,,24 HORAS
,VELOZ,,24 HORAS
,YARUQU├ìES,,24 HORAS
,GUANO RETIRO DE OFICINA RIOBAMBA,,RETIRO OFICINA RIOBAMBA
GUAYAS,GUAYAQUIL,PRINCIPAL,24 HORAS
,AYACUCHO,,24 HORAS
,BOL├ìVAR  (SAGRARIO),,24 HORAS
,CARBO (CONCEPCI├ôN),,24 HORAS
,FEBRES CORDERO,,24 HORAS
,GARC├ìA MORENO,,24 HORAS
,LETAMENDI,,24 HORAS
,NUEVE DE OCTUBRE,,24 HORAS
,OLMEDO  (SAN ALEJO),,24 HORAS
,ROCA,,24 HORAS
,ROCAFUERTE,,24 HORAS
,SUCRE,,24 HORAS
,TARQUI,,48 HORAS
,URDANETA,,48 HORAS
,XIMENA,,48 HORAS
,DURAN,SECUNDARIO,48 A 72 HORAS
,EL RECREO,ESPECIAL,48 A 72 HORAS
,ELOY ALFARO (DUR├üN),,48 A 72 HORAS
,PASCUALES,,48 A 72 HORAS
,LA PUNTILLA (SAT├ëLITE),,48 A 72 HORAS
